,pop,rock,country,jazz,electronic,classical,world,kids,other,rap
acoustic,0,0,1,0,0,1,0,0,0,0
afrobeat,0,0,0,0,0,0,1,0,0,0
alt-rock,0,1,0,0,0,0,0,0,0,0
alternative,1,1,0,0,0,0,0,0,0,0
ambient,0,0,0,0,0,0,0,0,1,0
anime,0,0,0,0,0,0,1,0,1,0
black-metal,0,1,0,0,0,0,0,0,0,0
bluegrass,0,0,1,0,0,0,0,0,0,0
blues,0,0,0,1,0,0,0,0,0,0
brazil,0,0,0,0,0,0,1,0,0,0
breakbeat,0,0,0,0,1,0,0,0,0,0
british,0,0,0,0,0,0,1,0,0,0
cantopop,1,0,0,0,0,0,1,0,0,0
chicago-house,0,0,0,0,1,0,0,0,0,0
children,0,0,0,0,0,0,0,1,0,0
chill,0,0,0,0,0,0,0,0,1,0
classical,0,0,0,0,0,1,0,0,0,0
club,1,0,0,0,1,0,0,0,0,0
comedy,0,0,0,0,0,0,0,0,1,0
country,0,0,1,0,0,0,0,0,0,0
dance,1,0,0,0,1,0,0,0,0,0
dancehall,0,0,0,0,1,0,0,0,0,0
death-metal,0,1,0,0,0,0,0,0,0,0
deep-house,0,0,0,0,1,0,0,0,0,0
detroit-techno,0,0,0,0,1,0,0,0,0,0
disco,0,0,0,0,1,0,0,0,0,0
disney,0,0,0,0,0,0,0,1,1,0
drum-and-bass,0,0,0,0,1,0,0,0,0,0
dub,0,0,0,0,1,0,0,0,0,0
dubstep,0,0,0,0,1,0,0,0,0,0
edm,0,0,0,0,1,0,0,0,0,0
electro,0,0,0,0,1,0,0,0,0,0
electronic,0,0,0,0,1,0,0,0,0,0
emo,0,1,0,0,0,0,0,0,0,0
folk,0,0,1,0,0,0,0,0,0,0
forro,0,0,0,0,0,0,1,0,0,0
french,0,0,0,0,0,0,1,0,0,0
funk,0,0,0,1,0,0,0,0,0,0
garage,0,1,0,0,0,0,0,0,0,0
german,0,0,0,0,0,0,1,0,0,0
gospel,0,0,0,1,0,0,0,0,0,0
goth,0,1,0,0,0,0,0,0,0,0
grindcore,0,0,0,0,1,0,0,0,0,0
groove,0,0,0,1,0,0,0,0,0,0
grunge,0,1,0,0,0,0,0,0,0,0
guitar,0,0,0,0,0,1,0,0,0,0
happy,0,0,0,0,0,0,0,0,1,0
hard-rock,0,1,0,0,0,0,0,0,0,0
hardcore,0,1,0,0,0,0,0,0,0,0
hardstyle,0,1,0,0,0,0,0,0,0,0
heavy-metal,0,1,0,0,0,0,0,0,0,0
hip-hop,0,0,0,0,0,0,0,0,0,1
honky-tonk,0,0,1,0,0,0,0,0,0,0
house,0,0,0,0,1,0,0,0,0,0
idm,0,0,0,0,1,0,0,0,0,0
indian,0,0,0,0,0,0,1,0,0,0
indie-pop,1,1,0,0,0,0,0,0,0,0
indie,1,1,0,0,0,0,0,0,0,0
industrial,0,0,0,0,1,0,0,0,0,0
iranian,0,0,0,0,0,0,1,0,0,0
j-dance,0,0,0,0,1,0,1,0,0,0
j-idol,1,0,0,0,0,0,1,0,0,0
j-pop,1,0,0,0,0,0,1,0,0,0
j-rock,0,1,0,0,0,0,1,0,0,0
jazz,0,0,0,1,0,0,0,0,0,0
k-pop,1,0,0,0,0,0,1,0,0,0
kids,0,0,0,0,0,0,0,1,0,0
latin,0,0,0,0,0,0,1,0,0,0
latino,0,0,0,0,0,0,1,0,0,0
malay,0,0,0,0,0,0,1,0,0,0
mandopop,1,0,0,0,0,0,1,0,0,0
metal,0,1,0,0,0,0,0,0,0,0
metalcore,0,1,0,0,0,0,0,0,0,0
minimal-techno,0,0,0,0,1,0,0,0,0,0
mpb,1,0,0,0,0,0,1,0,0,0
new-age,0,0,0,0,1,0,0,0,0,0
opera,0,0,0,0,0,1,0,0,0,0
pagode,0,0,0,0,0,0,1,0,0,0
party,1,0,0,0,1,0,0,0,0,0
piano,0,0,0,0,0,1,0,0,0,0
pop-film,1,0,0,0,0,0,0,0,1,0
pop,1,0,0,0,0,0,0,0,0,0
power-pop,1,0,0,0,0,0,0,0,0,0
progressive-house,0,0,0,0,1,0,0,0,0,0
psych-rock,0,1,0,0,0,0,0,0,0,0
punk-rock,0,1,0,0,0,0,0,0,0,0
punk,0,1,0,0,0,0,0,0,0,0
r-n-b,0,0,0,1,0,0,0,0,0,1
reggae,0,0,0,1,0,0,1,0,0,0
reggaeton,0,0,0,1,0,0,1,0,0,0
rock-n-roll,0,1,0,0,0,0,0,0,0,0
rock,0,1,0,0,0,0,0,0,0,0
rockabilly,0,1,1,0,0,0,0,0,0,0
romance,0,0,0,0,0,1,0,0,0,0
sad,0,0,0,0,0,0,0,0,1,0
salsa,0,0,0,0,0,0,1,0,0,0
samba,0,0,0,0,0,0,1,0,0,0
sertanejo,0,0,0,0,0,0,1,0,0,0
show-tunes,0,0,0,0,0,0,0,0,1,0
ska,0,0,0,1,0,0,0,0,0,0
sleep,0,0,0,0,0,0,0,0,1,0
soul,0,0,0,1,0,0,0,0,0,1
spanish,0,0,0,0,0,0,1,0,0,0
study,0,0,0,0,0,0,0,0,1,0
swedish,0,0,0,0,0,0,1,0,0,0
synth-pop,1,0,0,0,1,0,0,0,0,0
tango,0,0,0,0,0,0,1,0,0,0
techno,0,0,0,0,1,0,0,0,0,0
trance,0,0,0,0,1,0,0,0,0,0
trip-hop,0,0,0,0,1,0,0,0,0,1
turkish,0,0,0,0,0,0,1,0,0,0
world-music,0,0,0,0,0,0,1,0,0,0
singer-songwriter,1,0,1,0,0,0,0,0,1,0
songwriter,1,0,1,0,0,0,0,0,0,0